time_s,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,aux_volts,current_a,accel_mag_g,accel_excess_g,gyro_mag_deg_s,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,accel_x_m_s2_for_velocity,accel_x_bias_correction_m_s2,accel_z_m_s2_for_velocity,spin_window_flag,vel_x_m_s,vel_y_m_s,vel_z_m_s,vel_mag_m_s,accel_z_raw_m_s2,vel_x_simple_m_s,vel_y_simple_m_s,vel_z_simple_m_s,vel_simple_mag_m_s,jerk_excess_g_per_s
70.412,-229.4,34.4,30.2,-0.85,0.76,0.17,0.036,0.0,1.1528226229563678,0.15282262295636784,233.9225512856766,-8.3356525,7.453054,-8.139519499999999,-3.7401901424399036,-4.595462357560097,-8.139519499999999,False,320.614133016449,30.01442912299913,-715.9014348394614,784.9899060820262,1.6671305,183.60961375050817,30.01442912299913,-5.527322139504178,186.12873906848503,18.751064304218275
70.414,-229.6,34.3,29.9,-0.85,0.81,0.21,0.036,0.0,1.1927698856024158,0.1927698856024158,234.0655036522896,-8.3356525,7.9433865,-7.7472535,-3.7401901424399036,-4.595462357560097,-7.7472535,False,320.60665263616414,30.02982556349909,-715.9173216124614,785.0019283560396,2.0593964999999996,183.5929424455082,30.02982556349909,-5.523595612504186,186.11466639591936,32.19448471039047
70.416,-229.4,33.6,29.9,-0.88,0.91,0.2,0.037,0.0,1.2816005617976296,0.2816005617976296,233.76768382306398,-8.629852,8.9240515,-7.84532,-4.034389642439903,-4.595462357560097,-7.84532,False,320.5988780563793,30.04669300149905,-715.9329141859613,785.0136189813132,1.96133,183.57597694100826,30.04669300149905,-5.519574886004196,186.10053405913195,20.329505863278392
70.418,-229.3,33.0,29.4,-0.82,0.95,0.22,0.036,0.0,1.2740879090549442,0.2740879090549442,233.52055584037993,-8.041452999999999,9.316317499999998,-7.6491869999999995,-3.4459906424399023,-4.595462357560097,-7.6491869999999995,False,320.5913976760944,30.064933370499137,-715.9484086929614,785.0253934698342,2.157463,183.5593056360082,30.064933370499137,-5.515456093004176,186.08691291990385,-20.81709687059832
70.42,-229.0,32.4,29.1,-0.76,0.9,0.22,0.035,0.0,1.1983321743156194,0.19833217431561945,233.10420416629125,-7.453054,8.825985,-7.6491869999999995,-2.8575916424399033,-4.595462357560097,-7.6491869999999995,False,320.5850940938095,30.083075672999094,-715.9637070669613,785.0374665161846,2.157463,183.54381112900822,30.083075672999094,-5.511141167004187,186.074433285906,-52.65076784095038
70.422,-228.2,31.8,28.8,-0.7,0.71,0.37,0.036,0.0,1.0634848376916335,0.06348483769163349,232.19801894073083,-6.864654999999999,6.962721499999999,-6.178189499999999,-2.2691926424399025,-4.595462357560097,-6.178189499999999,False,320.57996730952465,30.09886437949906,-715.9775344434613,785.0485888815094,3.6284604999999996,183.52949342000827,30.09886437949906,-5.505355243504201,186.06269246761295,-46.66260154237384
70.424,-228.3,31.6,28.5,-0.67,0.65,0.39,0.035,0.0,1.011681768146486,0.011681768146486027,232.2319960728926,-6.5704555000000004,6.3743225,-5.9820565,-1.9749931424399039,-4.595462357560097,-5.9820565,False,320.57572312373975,30.112201423499123,-715.9896946894613,785.0584575892333,3.8245934999999998,183.5160583095082,30.112201423499123,-5.497902189504165,186.05137801293907,-5.049490209283652
70.426,-227.8,31.1,28.4,-0.62,0.53,0.5,0.036,0.0,0.9567131231461184,0.04328687685388155,231.66054907989837,-6.0801229999999995,5.1975245,-4.903325,-1.484660642439903,-4.595462357560097,-4.903325,False,320.57226346995486,30.123773270499097,-716.0005800709613,785.0674165218269,4.903325,183.50340773100822,30.123773270499097,-5.4891742710041855,186.04051547746943,19.771947004178422
70.428,-227.6,31.1,28.5,-0.57,0.53,0.47,0.036,0.0,0.9092304438369846,0.09076955616301541,231.476175879938,-5.589790499999999,5.1975245,-5.1975245,-0.9943281424399029,-4.595462357560097,-5.1975245,False,320.56978448116996,30.13416831949907,-716.0106809204613,785.0760154372277,4.609125499999999,183.49173781750824,30.13416831949907,-5.479661820504208,186.03040784039626,30.22254384677797
70.43,-227.5,30.7,28.7,-0.55,0.45,0.44,0.034,0.0,0.8358229477586746,0.1641770522413254,231.34915171662072,-5.3936575,4.4129925,-5.4917240000000005,-0.7981951424399032,-4.595462357560097,-5.4917240000000005,False,320.56799195788506,30.143778836499116,-716.0213701689613,785.0854013475803,4.314926,183.4807543695082,30.143778836499116,-5.470737769004165,186.02086871715437,21.562015623513318
