time_s,altitude_agl_ft,altitude_agl_smooth_ft,vertical_velocity_ft_s,horizontal_velocity_ft_s,acceleration_ft_s2,velocity_dr_ft_s,velocity_cr_ft_s,apo_fired,main_fired,descent_rate_ft_s,descent_rate_from_alt_ft_s,descent_rate_from_alt_smoothed_ft_s,altitude_asl_ft,baro_press_atm,inertial_altitude_ft,tilt_angle_deg,future_angle_deg,roll_angle_deg
86.1,17365.5,17448.996666666666,-250.0,101.01980003939822,224.99999999998272,86.0,-53.0,1,0,250.0,126.21666666661622,121.97459027777795,19318.2,0.4728,26057.0,132.2,0.0,-30485.0
86.12,17365.5,17446.495666666666,-246.0,98.88377015466189,124.99999999992724,87.0,-47.0,1,0,246.0,125.04999999987194,121.97045138888876,19318.2,0.4728,26052.0,134.2,0.0,-30531.0
86.14,17466.2,17443.99466666667,-245.0,100.72239075796404,-50.000000000010004,92.0,-41.0,1,0,245.0,120.23749999998836,121.94954861111104,19418.8,0.4708,26047.0,135.1,0.0,-30577.0
86.16,17466.2,17441.686166666666,-248.0,107.15409464878138,-199.9999999999327,99.0,-41.0,1,0,248.0,115.47083333338378,121.93638194444453,19418.8,0.4708,26042.0,134.4,0.0,-30623.0
86.18,17494.7,17439.37583333333,-253.0,112.40106761058811,-249.99999999995998,103.0,-45.0,1,0,253.0,117.70000000001164,121.93095138888893,19447.4,0.4703,26037.0,132.3,0.0,-30669.0
86.2,17495.8,17436.978166666664,-258.0,111.80339887498948,-175.00000000003456,100.0,-50.0,1,0,258.0,119.8833333334187,121.94238888888863,19448.4,0.4703,26032.0,129.4,0.0,-30715.0
86.22,17368.6,17434.580499999996,-260.0,108.90821823902914,25.000000000005457,94.0,-55.0,1,0,260.0,120.59583333332557,121.97084722222198,19321.2,0.4728,26027.0,126.6,0.0,-30761.0
86.24,17368.6,17432.154333333332,-257.0,103.46496991735899,199.9999999999336,87.0,-56.0,1,0,257.0,121.30833333317423,121.97873611111106,19321.2,0.4728,26022.0,124.6,0.0,-30807.0
86.26,17407.2,17429.728166666668,-252.0,99.32270636667126,224.99999999994725,84.0,-53.0,1,0,252.0,123.83749999996508,121.96597222222209,19359.8,0.472,26017.0,123.8,0.0,-30852.0
86.28,17407.2,17427.200833333332,-248.0,98.97979591815695,100.00000000002001,86.0,-49.0,1,0,248.0,126.36666666669771,121.95094444444422,19359.8,0.472,26012.0,123.9,0.0,-30898.0
86.3,17474.3,17424.6735,-248.0,102.41581909060729,-125.00000000002547,92.0,-45.0,1,0,248.0,124.90833333326736,121.93358333333299,19427.0,0.4707,26007.0,124.3,0.0,-30944.0
86.32,17474.3,17422.204500000003,-253.0,107.42439201596628,-324.9999999998963,98.0,-44.0,1,0,253.0,123.44999999995343,121.93829166666643,19427.0,0.4707,26002.0,124.4,0.0,-30990.0
86.34,17464.2,17419.735500000003,-261.0,111.8257573191436,-324.9999999998963,101.0,-48.0,1,0,261.0,122.42083333333721,121.96506944444428,19416.8,0.4709,25997.0,124.2,0.0,-31036.0
86.36,17464.2,17417.307666666668,-266.0,113.64858116140297,-125.00000000002547,100.0,-54.0,1,0,266.0,121.3916666667792,121.9935972222222,19416.8,0.4709,25991.0,124.2,0.0,-31082.0
