time_s,altitude_agl_ft,altitude_agl_smooth_ft,descent_rate_from_alt_ft_s,descent_rate_smoothed_ft_s,descent_rate_time_smoothed_ft_s,velocity_up_ft_s,time_plot_descent_rate_ft_s,time_plot_descent_rate_smoothed_ft_s
69.42,19352.5,19309.39504950495,17.72277227730956,68.11001100109813,102.3652816101326,-5.0,17.72277227730956,102.3652816101326
69.44,19352.5,19309.040594059406,4.554455445555504,67.11521152115098,102.02449548233965,-5.0,4.554455445555504,102.02449548233965
69.46,19340.5,19309.212871287127,,66.0879576329743,101.70129308013163,-5.0,,101.70129308013163
69.48,19340.5,19309.40693069307,,65.16030174446115,101.40155818860957,-5.0,,101.40155818860957
69.5,19352.5,19309.92376237624,,62.9932814710039,101.14530920305577,-5.0,,101.14530920305577
69.52,19352.5,19310.472277227724,,61.311291843471174,100.88906021750134,-5.0,,100.88906021750134
69.54,19357.9,19311.26930693069,,60.16501650165273,100.62983552454045,-5.0,,100.62983552454045
69.56,19357.9,19312.01287128713,,59.10242809995682,100.35857274252483,-5.0,,100.35857274252483
69.58,19349.2,19312.573267326734,,58.187765205093285,100.08676892279884,-5.0,,100.08676892279884
69.6,19349.2,19313.144554455448,,57.40040075436367,99.83992046746202,-5.0,,99.83992046746202
69.62,19349.2,19313.607920792077,,56.73385195663044,99.5890142292979,-5.0,,99.5890142292979
69.64,19349.2,19314.156435643567,,56.19578029232244,99.35028133961522,-5.0,,99.35028133961522
69.66,19343.8,19314.435643564357,,55.83745874587995,99.11073689336702,-5.0,,99.11073689336702
69.68,19343.8,19314.736633663368,,55.53041018387913,98.87815830764002,-5.0,,98.87815830764002
69.7,19332.9,19315.059405940596,,55.408415841587285,98.6552507709847,-5.0,,98.6552507709847
69.72,19332.9,19315.360396039607,,55.2681518151824,98.4451928799498,-5.0,,98.4451928799498
69.74,19338.4,19315.392079207923,,55.01414427157059,98.21024725424006,-5.0,,98.21024725424006
69.76,19338.4,19315.478217821783,4.554455445555504,54.84323432343496,97.95575664124402,-5.0,4.554455445555504,97.95575664124402
69.78,19321.0,19315.2099009901,9.381188118830323,54.81258840170007,97.69267705459669,-5.0,9.381188118830323,97.69267705459669
69.8,19322.1,19315.10297029703,2.673267326725181,54.93576143328877,97.4048449927017,-4.0,2.673267326725181,97.4048449927017
69.82,19322.1,19315.10297029703,0.5445544554386288,55.149104196136165,97.09712979495268,-4.0,0.5445544554386288,97.09712979495268
69.84,19322.1,19315.081188118813,17.450495049532037,55.439651107969915,96.78941459720366,-4.0,17.450495049532037,96.78941459720366
69.86,19299.3,19314.40495049505,33.01980198023375,55.71074964639376,96.4908970405306,-4.0,33.01980198023375,96.4908970405306
69.88,19299.3,19313.760396039605,35.96534653467825,55.885195662422724,96.19373207813294,-3.0,35.96534653467825,96.19373207813294
69.9,19283.1,19312.96633663366,36.757425742573105,56.206977840641876,95.90278904940415,-3.0,36.757425742573105,95.90278904940415
69.92,19283.1,19312.2900990099,37.82178217812907,56.784535596421584,95.61942054862025,-3.0,37.82178217812907,95.61942054862025
69.94,19261.4,19311.453465346534,41.83168316836236,57.66796322489695,95.34295027864295,-4.0,41.83168316836236,95.34295027864295
69.96,19261.4,19310.616831683168,47.45049504953204,58.81305987741854,95.06188118812781,-3.0,47.45049504953204,95.06188118812781
69.98,19241.9,19309.555445544553,51.73267326731002,60.104903347481184,94.78202943246104,-3.0,51.73267326731002,94.78202943246104
70.0,19241.9,19308.547524752477,23.04455445538042,61.416195190956515,94.50555916248405,-3.0,23.04455445538042,94.50555916248405
70.02,19224.6,19308.633663366338,,62.92609618105538,94.24207379755451,-3.0,,94.24207379755451
70.04,19224.6,19308.837623762378,,64.36704384724726,93.98629821999755,-3.0,,93.98629821999755
70.06,19219.2,19309.063366336635,,65.746110325323,93.73376886870268,-3.0,,93.73376886870268
70.08,19219.2,19309.256435643565,,65.22795302786615,93.4909781961935,-3.0,,93.4909781961935
70.1,19219.2,19309.063366336635,6.163366336666513,64.2703645364593,93.27821511660669,-3.0,6.163366336666513,93.27821511660669
70.12,19219.2,19309.0099009901,28.638613861403428,63.38448844884988,93.06545203701988,-3.0,28.638613861403428,93.06545203701988
70.14,19213.8,19307.91782178218,54.603960396081675,62.653895824370686,92.85268895743307,-3.0,54.603960396081675,92.85268895743307
70.16,19213.8,19306.825742574256,58.09405940602301,62.000737307777754,92.63992587784627,-3.0,58.09405940602301,92.63992587784627
70.18,19219.2,19305.59405940594,63.46534653456183,61.302083333336974,92.42716279825946,-3.0,63.46534653456183,92.42716279825946
70.2,19219.2,19304.287128712873,71.485148514912,60.658718933122074,92.21439971867265,-3.0,71.485148514912,92.21439971867265
70.22,19213.8,19302.734653465344,78.96039603970712,60.153465346536834,92.00948168588609,-3.0,78.96039603970712,92.00948168588609
70.24,19213.8,19301.128712871287,81.63366336631589,59.85730926034054,91.80483417195516,-4.0,81.63366336631589,91.80483417195516
70.26,19211.6,19299.469306930692,83.514851485088,59.64965727342329,91.60654385112015,-4.0,83.514851485088,91.60654385112015
70.28,19211.6,19297.78811881188,87.00495049508754,59.78143097328918,91.40825353028514,-4.0,87.00495049508754,91.40825353028514
70.3,19227.9,19295.98910891089,94.77722772280686,60.25944261093132,91.20996320945012,-4.0,94.77722772280686,91.20996320945012
70.32,19227.9,19293.99702970297,93.46534653456183,61.06345634563847,91.01167288861511,-4.0,93.46534653456183,91.01167288861511
70.34,19258.2,19292.250495049506,89.48019801976625,62.15611739745717,90.81338256778011,-4.0,89.48019801976625,90.81338256778011
70.36,19258.2,19290.41782178218,92.97029702976579,63.316831683171216,90.6150922469451,-4.0,92.97029702976579,90.6150922469451
70.38,19283.1,19288.531683168316,96.18811881187139,65.60404724683389,90.41680192611008,-4.0,96.18811881187139,90.41680192611008
70.4,19283.1,19286.570297029702,97.79702970292419,67.60552371026981,90.21851160527507,-4.0,97.79702970292419,90.21851160527507
70.42,19329.7,19284.6198019802,99.40594059409341,69.53317700191442,90.02022128444005,-4.0,99.40594059409341,90.02022128444005
70.44,19329.7,19282.59405940594,101.28712871292373,70.93712002779623,89.82193096360504,-4.0,101.28712871292373,89.82193096360504
70.46,19382.9,19280.568316831683,98.31683168309974,71.53508771930132,89.62364064277003,-4.0,98.31683168309974,89.62364064277003
70.48,19382.9,19278.661386138614,94.00990099000046,71.43824908806812,89.41899312883912,-4.0,94.00990099000046,89.41899312883912
70.5,19415.5,19276.807920792082,95.37128712877166,70.89152336286344,89.21407509605254,-4.0,95.37128712877166,89.21407509605254
70.52,19415.5,19274.846534653465,101.53465346543817,71.50106082036862,89.01632581292661,-4.0,101.53465346543817,89.01632581292661
70.54,19440.6,19272.746534653466,106.33663366333349,72.11341134113661,88.81492452525653,-4.0,106.33663366333349,88.81492452525653
70.56,19440.6,19270.59306930693,107.67326732678339,72.67418408507689,88.60960071418728,-4.0,107.67326732678339,88.60960071418728
70.58,19422.1,19268.439603960396,105.51980198017554,71.93940227356076,88.4360628686004,-3.0,105.51980198017554,88.4360628686004
70.6,19421.0,19266.372277227725,98.01980198029196,71.67858452511912,88.26834117839876,-4.0,98.01980198029196,88.26834117839876
70.62,19410.1,19264.518811881186,92.67326732672518,72.45278694536279,88.11292809610751,-3.0,92.67326732672518,88.11292809610751
